head_node,relation,tail_node
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-15869
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-483
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-477
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-476
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-16254
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-7289
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-475
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-18596
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-472
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-11461
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-11605
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-20296
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-16207
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-11411
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-12930
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-433
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-1867
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-20214
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-9667
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-18162
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-407
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-14080
